Time B=0.1;Num of Total Infected Nodes B=0.1;Num of Infected Nodes This Time B=0.1;Time B=0.2;Num of Total Infected Nodes B=0.2;Num of Infected Nodes This Time B=0.2;Time B=0.3;Num of Total Infected Nodes B=0.3;Num of Infected Nodes This Time B=0.3;Time B=0.4;Num of Total Infected Nodes B=0.4;Num of Infected Nodes This Time B=0.4;Time B=0.5;Num of Total Infected Nodes B=0.5;Num of Infected Nodes This Time B=0.5;Time B=0.6;Num of Total Infected Nodes B=0.6;Num of Infected Nodes This Time B=0.6;Time B=0.7;Num of Total Infected Nodes B=0.7;Num of Infected Nodes This Time B=0.7;Time B=0.8;Num of Total Infected Nodes B=0.8;Num of Infected Nodes This Time B=0.8;Time B=0.9;Num of Total Infected Nodes B=0.9;Num of Infected Nodes This Time B=0.9;Time B=1;Num of Total Infected Nodes B=1;Num of Infected Nodes This Time B=1
1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;1;1;2;1;1;2;2;1;2;1;1;2;1;1;2;3;2;2;3;2;2;2;1;2;3;2;2;3;2
3;2;1;3;3;2;3;4;2;3;2;1;3;3;2;3;5;2;3;7;4;3;5;3;3;6;3;3;7;4
4;3;1;4;4;1;4;7;3;4;3;1;4;7;4;4;10;5;4;14;7;4;10;5;4;13;7;4;15;8
5;5;2;5;5;1;5;11;4;5;6;3;5;12;5;5;18;8;5;24;10;5;21;11;5;26;13;5;31;16
6;6;1;6;6;1;6;16;5;6;9;3;6;21;9;6;34;16;6;45;21;6;39;18;6;47;21;6;61;30
7;8;2;7;9;3;7;18;2;7;14;5;7;32;11;7;59;25;7;77;32;7;70;31;7;91;44;7;116;55
8;9;1;8;15;6;8;25;7;8;22;8;8;51;19;8;93;34;8;126;49;8;120;50;8;166;75;8;218;102
9;11;2;9;18;3;9;33;8;9;32;10;9;81;30;9;147;54;9;208;82;9;208;88;9;288;122;9;374;156
10;13;2;10;21;3;10;44;11;10;44;12;10;109;28;10;218;71;10;318;110;10;339;131;10;447;159;10;585;211
11;16;3;11;25;4;11;53;9;11;65;21;11;159;50;11;318;100;11;459;141;11;512;173;11;623;176;11;784;199
12;18;2;12;32;7;12;67;14;12;95;30;12;233;74;12;442;124;12;607;148;12;680;168;12;806;183;12;908;124
13;21;3;13;39;7;13;85;18;13;133;38;13;324;91;13;577;135;13;749;142;13;818;138;13;930;124;13;969;61
14;23;2;14;49;10;14;112;27;14;177;44;14;429;105;14;708;131;14;859;110;14;919;101;14;973;43;14;995;26
15;26;3;15;57;8;15;140;28;15;249;72;15;560;131;15;813;105;15;937;78;15;968;49;15;996;23;15;1000;5
16;31;5;16;65;8;16;179;39;16;313;64;16;682;122;16;894;81;16;972;35;16;988;20;16;1000;4;;;
17;37;6;17;76;11;17;220;41;17;397;84;17;776;94;17;945;51;17;992;20;17;1000;12;;;;;;
18;43;6;18;89;13;18;274;54;18;489;92;18;850;74;18;980;35;18;1000;8;;;;;;;;;
19;51;8;19;109;20;19;326;52;19;568;79;19;902;52;19;999;19;;;;;;;;;;;;
20;54;3;20;127;18;20;401;75;20;666;98;20;944;42;;;;;;;;;;;;;;;
21;60;6;21;149;22;21;477;76;21;757;91;21;971;27;;;;;;;;;;;;;;;
22;65;5;22;185;36;22;550;73;22;812;55;22;994;23;;;;;;;;;;;;;;;
23;70;5;23;217;32;23;621;71;23;885;73;23;1000;6;;;;;;;;;;;;;;;
24;76;6;24;243;26;24;687;66;24;925;40;;;;;;;;;;;;;;;;;;
25;85;9;25;294;51;25;742;55;25;948;23;;;;;;;;;;;;;;;;;;
26;95;10;26;343;49;26;791;49;26;971;23;;;;;;;;;;;;;;;;;;
27;101;6;27;386;43;27;837;46;27;994;23;;;;;;;;;;;;;;;;;;
28;107;6;28;445;59;28;886;49;28;1000;6;;;;;;;;;;;;;;;;;;
29;116;9;29;497;52;29;917;31;;;;;;;;;;;;;;;;;;;;;
30;121;5;30;549;52;30;949;32;;;;;;;;;;;;;;;;;;;;;
31;132;11;31;600;51;31;969;20;;;;;;;;;;;;;;;;;;;;;
