1;0;2;0;2;0;1;0;2;0;2;0;2;0;2;0;2;0;2;0
2;0;3;0;2;0;1;0;3;0;3;0;3;0;3;0;3;0;4;0
3;0;3;0;2;0;1;0;4;0;4;0;6;0;6;0;5;0;8;0
3;0;5;0;3;0;2;0;7;0;8;0;11;0;11;0;9;0;16;0
2;1;5;2;2;2;3;1;8;2;9;2;16;2;16;2;16;2;30;2
1;2;4;3;3;2;4;1;13;3;13;3;25;3;29;3;29;3;58;4
0;3;5;3;3;2;5;1;20;4;20;4;41;6;47;6;53;5;105;8
;;5;5;2;3;5;2;29;7;27;8;63;11;76;11;92;9;187;16
;;5;7;2;4;6;4;35;10;42;11;99;18;126;18;152;18;308;32
;;5;7;1;5;8;5;44;16;58;16;155;28;190;32;242;32;440;62
;;6;8;1;5;10;6;61;24;80;24;213;47;290;53;363;58;555;113
;;4;10;2;5;12;7;77;36;112;35;294;74;395;87;493;101;605;203
;;2;12;2;6;12;10;92;45;157;53;370;117;484;144;567;170;560;340
;;2;12;3;6;12;13;117;60;210;74;420;183;524;222;570;274;445;502
;;0;14;4;6;17;16;138;85;270;104;450;260;485;343;484;421;301;668
;;;;3;7;17;19;164;113;315;147;426;368;402;482;351;594;169;808
;;;;3;8;20;22;199;137;336;210;352;487;288;628;224;737;79;900
;;;;3;9;25;25;224;177;334;284;284;603;187;746;122;844;36;947
;;;;2;10;24;33;231;223;320;374;194;710;114;828;64;905;16;969
;;;;2;10;28;36;231;277;285;462;123;794;65;884;26;945;8;977
;;;;1;11;33;42;218;336;257;546;85;839;39;916;10;961;6;979
;;;;1;12;40;50;199;401;217;618;41;887;23;933;5;966;2;983
;;;;2;12;47;57;190;454;157;694;27;904;14;942;2;969;0;985
;;;;2;12;54;64;179;508;124;747;16;917;7;949;1;971;;
;;;;2;12;68;75;164;554;82;803;9;924;1;955;1;971;;
;;;;1;13;79;90;140;600;54;835;5;928;0;956;1;971;;
;;;;0;14;89;104;123;644;44;851;2;931;;;1;971;;
;;;;;;104;118;91;687;28;871;0;933;;;0;972;;
;;;;;;114;143;72;718;15;885;;;;;;;;
;;;;;;121;169;54;740;12;889;;;;;;;;
;;;;;;137;193;34;767;7;895;;;;;;;;
;;;;;;145;222;25;778;3;899;;;;;;;;
;;;;;;149;257;16;790;2;900;;;;;;;;
;;;;;;147;290;15;794;1;901;;;;;;;;
;;;;;;139;330;8;801;0;902;;;;;;;;
;;;;;;128;367;7;803;;;;;;;;;;
;;;;;;120;406;6;806;;;;;;;;;;
;;;;;;107;437;3;809;;;;;;;;;;
;;;;;;99;469;3;809;;;;;;;;;;
;;;;;;92;495;2;810;;;;;;;;;;
;;;;;;73;526;0;812;;;;;;;;;;
;;;;;;66;544;;;;;;;;;;;;
;;;;;;48;568;;;;;;;;;;;;
;;;;;;35;587;;;;;;;;;;;;
;;;;;;35;599;;;;;;;;;;;;
;;;;;;28;610;;;;;;;;;;;;
;;;;;;26;616;;;;;;;;;;;;
;;;;;;23;622;;;;;;;;;;;;
;;;;;;15;634;;;;;;;;;;;;
;;;;;;15;638;;;;;;;;;;;;
;;;;;;13;642;;;;;;;;;;;;
;;;;;;10;645;;;;;;;;;;;;
;;;;;;8;649;;;;;;;;;;;;
;;;;;;6;653;;;;;;;;;;;;
;;;;;;7;655;;;;;;;;;;;;
;;;;;;7;655;;;;;;;;;;;;
;;;;;;5;657;;;;;;;;;;;;
;;;;;;3;659;;;;;;;;;;;;
;;;;;;2;662;;;;;;;;;;;;
;;;;;;3;662;;;;;;;;;;;;
;;;;;;3;662;;;;;;;;;;;;
;;;;;;3;662;;;;;;;;;;;;
